ID,Year,Rank,Title,Artist,Source
200004,2000,4,Everything You Want,Vertical Horizon,https://genius.com/Vertical-horizon-everything-you-want-lyrics
200005,2000,5,Say My Name,Destiny's Child,https://genius.com/Destinys-child-say-my-name-lyrics
200006,2000,6,I Knew I Loved You,Savage Garden,https://genius.com/Savage-garden-i-knew-i-loved-you-lyrics
200007,2000,7,Amazed,Lonestar,https://genius.com/Lonestar-amazed-lyrics
200008,2000,8,Bent,Matchbox Twenty,https://genius.com/Matchbox-twenty-bent-lyrics
200009,2000,9,He Wasn't Man Enough,Toni Braxton,https://genius.com/Toni-braxton-he-wasnt-man-enough-lyrics
200010,2000,10,Higher,Creed,https://genius.com/Creed-higher-lyrics
199901,1999,1,Believe,Cher,https://genius.com/Cher-believe-lyrics
199902,1999,2,No Scrubs,TLC,https://genius.com/Tlc-no-scrubs-lyrics
199903,1999,3,Angel of Mine,Monica,https://genius.com/Monica-angel-of-mine-lyrics
199904,1999,4,Heartbreak Hotel,Whitney Houston featuring Faith Evans and Kelly Price,https://genius.com/Whitney-houston-heartbreak-hotel-lyrics
199905,1999,5,...Baby One More Time,Britney Spears,https://genius.com/Britney-spears-baby-one-more-time-lyrics
199906,1999,6,Kiss Me,Sixpence None the Richer,https://genius.com/Sixpence-none-the-richer-kiss-me-lyrics
199907,1999,7,Genie in a Bottle,Christina Aguilera,https://genius.com/Christina-aguilera-genie-in-a-bottle-lyrics
199908,1999,8,Every Morning,Sugar Ray,https://genius.com/Sugar-ray-every-morning-lyrics
199909,1999,9,Nobody's Supposed to Be Here,Deborah Cox,https://genius.com/Deborah-cox-nobodys-supposed-to-be-here-lyrics
199910,1999,10,Where My Girls At?,702,https://genius.com/702-where-my-girls-at-lyrics
199801,1998,1,Too Close,Next,https://genius.com/Next-too-close-lyrics
199802,1998,2,The Boy Is Mine,Brandy and Monica,https://genius.com/Brandy-and-monica-the-boy-is-mine-lyrics
199803,1998,3,You're Still the One,Shania Twain,https://genius.com/Shania-twain-youre-still-the-one-lyrics
199804,1998,4,Truly Madly Deeply,Savage Garden,https://genius.com/Savage-garden-truly-madly-deeply-lyrics
199805,1998,5,How Do I Live,LeAnn Rimes,https://genius.com/Leann-rimes-how-do-i-live-lyrics
199806,1998,6,Together Again,Janet,https://genius.com/Janet-jackson-together-again-lyrics
199807,1998,7,All My Life,K-Ci & JoJo,https://genius.com/K-ci-and-jojo-all-my-life-lyrics
199808,1998,8,Candle in the Wind 1997 / Something About the Way You Look Tonight,Elton John,https://genius.com/Elton-john-candle-in-the-wind-1997-lyrics
199809,1998,9,Nice & Slow,Usher,https://genius.com/Usher-nice-and-slow-lyrics
199810,1998,10,I Don't Want to Wait,Paula Cole,https://genius.com/Paula-cole-i-dont-want-to-wait-lyrics
199701,1997,1,Candle in the Wind 1997 / Something About the Way You Look Tonight,Elton John,https://genius.com/Elton-john-candle-in-the-wind-1997-lyrics
199702,1997,2,You Were Meant for Me / Foolish Games,Jewel,https://genius.com/Jewel-you-were-meant-for-me-lyrics
